,indicator_group,year,value,indicator_name,source_comment,country,indicator_units,source_name,category_name,sub_category
296,System design,,19.4,Total installed cost ,Fig. 3.6,Ireland, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
297,Permitting,,111.5,Total installed cost ,Fig. 3.6,Ireland, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
298,Incentive application,,29.0,Total installed cost ,Fig. 3.6,Ireland, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
299,Customer acquisition,,4.0,Total installed cost ,Fig. 3.6,Ireland, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
300,Modules,,444.9,Total installed cost ,Fig. 3.6,Hungary, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
301,Inverters,,88.9,Total installed cost ,Fig. 3.6,Hungary, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
302,Racking and mounting,,121.3,Total installed cost ,Fig. 3.6,Hungary, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
303,Grid connection,,115.1,Total installed cost ,Fig. 3.6,Hungary, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
304,Cabling/ wiring,,71.1,Total installed cost ,Fig. 3.6,Hungary, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
305,Safety and security,,70.8,Total installed cost ,Fig. 3.6,Hungary, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
306,Monitoring and control,,12.2,Total installed cost ,Fig. 3.6,Hungary, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
307,Mechanical installation,,39.8,Total installed cost ,Fig. 3.6,Hungary, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
308,Electrical installation,,46.1,Total installed cost ,Fig. 3.6,Hungary, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
309,Inspection,,20.4,Total installed cost ,Fig. 3.6,Hungary, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
310,Margin,,137.6,Total installed cost ,Fig. 3.6,Hungary, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
311,Financing costs,,10.1,Total installed cost ,Fig. 3.6,Hungary, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
312,System design,,6.1,Total installed cost ,Fig. 3.6,Hungary, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
313,Permitting,,63.1,Total installed cost ,Fig. 3.6,Hungary, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
314,Incentive application,,24.0,Total installed cost ,Fig. 3.6,Hungary, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
315,Customer acquisition,,5.2,Total installed cost ,Fig. 3.6,Hungary, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
316,Modules,,299.5,Total installed cost ,Fig. 3.6,South Africa, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
317,Inverters,,51.4,Total installed cost ,Fig. 3.6,South Africa, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
318,Racking and mounting,,76.1,Total installed cost ,Fig. 3.6,South Africa, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
319,Grid connection,,81.3,Total installed cost ,Fig. 3.6,South Africa, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
320,Cabling/ wiring,,62.6,Total installed cost ,Fig. 3.6,South Africa, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
321,Safety and security,,44.2,Total installed cost ,Fig. 3.6,South Africa, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
322,Monitoring and control,,13.6,Total installed cost ,Fig. 3.6,South Africa, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
323,Mechanical installation,,98.9,Total installed cost ,Fig. 3.6,South Africa, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
324,Electrical installation,,64.8,Total installed cost ,Fig. 3.6,South Africa, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
325,Inspection,,14.4,Total installed cost ,Fig. 3.6,South Africa, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
326,Margin,,159.8,Total installed cost ,Fig. 3.6,South Africa, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
327,Financing costs,,91.5,Total installed cost ,Fig. 3.6,South Africa, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
328,System design,,27.4,Total installed cost ,Fig. 3.6,South Africa, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
329,Permitting,,93.4,Total installed cost ,Fig. 3.6,South Africa, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
330,Incentive application,,34.1,Total installed cost ,Fig. 3.6,South Africa, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
331,Customer acquisition,,43.6,Total installed cost ,Fig. 3.6,South Africa, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
332,Modules,,350.0,Total installed cost ,Fig. 3.6,Croatia, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
333,Inverters,,42.0,Total installed cost ,Fig. 3.6,Croatia, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
334,Racking and mounting,,58.2,Total installed cost ,Fig. 3.6,Croatia, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
335,Grid connection,,57.6,Total installed cost ,Fig. 3.6,Croatia, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
336,Cabling/ wiring,,24.0,Total installed cost ,Fig. 3.6,Croatia, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
337,Safety and security,,15.0,Total installed cost ,Fig. 3.6,Croatia, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
338,Monitoring and control,,3.4,Total installed cost ,Fig. 3.6,Croatia, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
339,Mechanical installation,,126.4,Total installed cost ,Fig. 3.6,Croatia, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
340,Electrical installation,,122.1,Total installed cost ,Fig. 3.6,Croatia, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
341,Inspection,,33.9,Total installed cost ,Fig. 3.6,Croatia, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
342,Margin,,245.3,Total installed cost ,Fig. 3.6,Croatia, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
343,Financing costs,,39.2,Total installed cost ,Fig. 3.6,Croatia, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
344,System design,,23.0,Total installed cost ,Fig. 3.6,Croatia, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
345,Permitting,,64.9,Total installed cost ,Fig. 3.6,Croatia, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
346,Incentive application,,0.0,Total installed cost ,Fig. 3.6,Croatia, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
347,Customer acquisition,,21.1,Total installed cost ,Fig. 3.6,Croatia, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
348,Modules,,440.8,Total installed cost ,Fig. 3.6,Netherlands, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
349,Inverters,,69.4,Total installed cost ,Fig. 3.6,Netherlands, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
350,Racking and mounting,,116.2,Total installed cost ,Fig. 3.6,Netherlands, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
351,Grid connection,,99.8,Total installed cost ,Fig. 3.6,Netherlands, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
352,Cabling/ wiring,,35.5,Total installed cost ,Fig. 3.6,Netherlands, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
353,Safety and security,,28.9,Total installed cost ,Fig. 3.6,Netherlands, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
354,Monitoring and control,,7.1,Total installed cost ,Fig. 3.6,Netherlands, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
355,Mechanical installation,,111.6,Total installed cost ,Fig. 3.6,Netherlands, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
356,Electrical installation,,97.5,Total installed cost ,Fig. 3.6,Netherlands, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
357,Inspection,,17.2,Total installed cost ,Fig. 3.6,Netherlands, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
358,Margin,,150.0,Total installed cost ,Fig. 3.6,Netherlands, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
359,Financing costs,,10.2,Total installed cost ,Fig. 3.6,Netherlands, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
360,System design,,12.4,Total installed cost ,Fig. 3.6,Netherlands, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
361,Permitting,,15.8,Total installed cost ,Fig. 3.6,Netherlands, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
362,Incentive application,,3.1,Total installed cost ,Fig. 3.6,Netherlands, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
363,Customer acquisition,,6.0,Total installed cost ,Fig. 3.6,Netherlands, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
364,Modules,,269.2,Total installed cost ,Fig. 3.6,Greece, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
365,Inverters,,45.3,Total installed cost ,Fig. 3.6,Greece, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
366,Racking and mounting,,89.7,Total installed cost ,Fig. 3.6,Greece, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
367,Grid connection,,84.3,Total installed cost ,Fig. 3.6,Greece, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
368,Cabling/ wiring,,25.7,Total installed cost ,Fig. 3.6,Greece, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
369,Safety and security,,30.6,Total installed cost ,Fig. 3.6,Greece, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
370,Monitoring and control,,3.2,Total installed cost ,Fig. 3.6,Greece, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
371,Mechanical installation,,142.1,Total installed cost ,Fig. 3.6,Greece, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
372,Electrical installation,,125.1,Total installed cost ,Fig. 3.6,Greece, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
373,Inspection,,45.0,Total installed cost ,Fig. 3.6,Greece, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
374,Margin,,199.9,Total installed cost ,Fig. 3.6,Greece, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
375,Financing costs,,82.7,Total installed cost ,Fig. 3.6,Greece, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
376,System design,,13.9,Total installed cost ,Fig. 3.6,Greece, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
377,Permitting,,3.9,Total installed cost ,Fig. 3.6,Greece, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
378,Incentive application,,0.0,Total installed cost ,Fig. 3.6,Greece, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
379,Customer acquisition,,12.2,Total installed cost ,Fig. 3.6,Greece, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
380,Modules,,251.5,Total installed cost ,Fig. 3.6,France, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
381,Inverters,,41.0,Total installed cost ,Fig. 3.6,France, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
382,Racking and mounting,,79.5,Total installed cost ,Fig. 3.6,France, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
383,Grid connection,,78.9,Total installed cost ,Fig. 3.6,France, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
384,Cabling/ wiring,,62.7,Total installed cost ,Fig. 3.6,France, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
385,Safety and security,,3.3,Total installed cost ,Fig. 3.6,France, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
386,Monitoring and control,,2.5,Total installed cost ,Fig. 3.6,France, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
387,Mechanical installation,,201.4,Total installed cost ,Fig. 3.6,France, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
388,Electrical installation,,140.7,Total installed cost ,Fig. 3.6,France, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
389,Inspection,,14.5,Total installed cost ,Fig. 3.6,France, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
390,Margin,,168.4,Total installed cost ,Fig. 3.6,France, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
391,Financing costs,,8.2,Total installed cost ,Fig. 3.6,France, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
392,System design,,7.3,Total installed cost ,Fig. 3.6,France, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
393,Permitting,,64.1,Total installed cost ,Fig. 3.6,France, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
394,Incentive application,,28.6,Total installed cost ,Fig. 3.6,France, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
395,Customer acquisition,,4.5,Total installed cost ,Fig. 3.6,France, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
396,Modules,,449.5,Total installed cost ,Fig. 3.6,Denmark, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
397,Inverters,,65.2,Total installed cost ,Fig. 3.6,Denmark, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
398,Racking and mounting,,124.7,Total installed cost ,Fig. 3.6,Denmark, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
399,Grid connection,,73.4,Total installed cost ,Fig. 3.6,Denmark, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
400,Cabling/ wiring,,28.7,Total installed cost ,Fig. 3.6,Denmark, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
401,Safety and security,,33.7,Total installed cost ,Fig. 3.6,Denmark, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
402,Monitoring and control,,7.8,Total installed cost ,Fig. 3.6,Denmark, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
403,Mechanical installation,,98.9,Total installed cost ,Fig. 3.6,Denmark, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
404,Electrical installation,,92.7,Total installed cost ,Fig. 3.6,Denmark, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
405,Inspection,,10.4,Total installed cost ,Fig. 3.6,Denmark, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
406,Margin,,112.7,Total installed cost ,Fig. 3.6,Denmark, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
407,Financing costs,,6.2,Total installed cost ,Fig. 3.6,Denmark, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
408,System design,,12.2,Total installed cost ,Fig. 3.6,Denmark, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
409,Permitting,,6.9,Total installed cost ,Fig. 3.6,Denmark, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
410,Incentive application,,0.0,Total installed cost ,Fig. 3.6,Denmark, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
411,Customer acquisition,,24.5,Total installed cost ,Fig. 3.6,Denmark, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
412,Modules,,400.9,Total installed cost ,Fig. 3.6,United States, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
413,Inverters,,74.3,Total installed cost ,Fig. 3.6,United States, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
414,Racking and mounting,,84.4,Total installed cost ,Fig. 3.6,United States, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
415,Grid connection,,77.4,Total installed cost ,Fig. 3.6,United States, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
416,Cabling/ wiring,,63.3,Total installed cost ,Fig. 3.6,United States, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
417,Safety and security,,26.3,Total installed cost ,Fig. 3.6,United States, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
418,Monitoring and control,,13.8,Total installed cost ,Fig. 3.6,United States, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
419,Mechanical installation,,160.2,Total installed cost ,Fig. 3.6,United States, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
420,Electrical installation,,25.4,Total installed cost ,Fig. 3.6,United States, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
421,Inspection,,7.2,Total installed cost ,Fig. 3.6,United States, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
422,Margin,,115.6,Total installed cost ,Fig. 3.6,United States, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
423,Financing costs,,13.8,Total installed cost ,Fig. 3.6,United States, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
424,System design,,26.8,Total installed cost ,Fig. 3.6,United States, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
425,Permitting,,6.0,Total installed cost ,Fig. 3.6,United States, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
426,Incentive application,,16.2,Total installed cost ,Fig. 3.6,United States, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
427,Customer acquisition,,7.1,Total installed cost ,Fig. 3.6,United States, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
428,Modules,,264.7,Total installed cost ,Fig. 3.6,Poland, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
429,Inverters,,34.8,Total installed cost ,Fig. 3.6,Poland, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
430,Racking and mounting,,101.7,Total installed cost ,Fig. 3.6,Poland, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
431,Grid connection,,106.4,Total installed cost ,Fig. 3.6,Poland, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
432,Cabling/ wiring,,45.7,Total installed cost ,Fig. 3.6,Poland, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
433,Safety and security,,31.8,Total installed cost ,Fig. 3.6,Poland, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
434,Monitoring and control,,11.9,Total installed cost ,Fig. 3.6,Poland, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
435,Mechanical installation,,105.5,Total installed cost ,Fig. 3.6,Poland, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
436,Electrical installation,,109.4,Total installed cost ,Fig. 3.6,Poland, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
437,Inspection,,19.5,Total installed cost ,Fig. 3.6,Poland, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
438,Margin,,149.3,Total installed cost ,Fig. 3.6,Poland, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
439,Financing costs,,11.5,Total installed cost ,Fig. 3.6,Poland, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
440,System design,,18.5,Total installed cost ,Fig. 3.6,Poland, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
441,Permitting,,26.6,Total installed cost ,Fig. 3.6,Poland, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
442,Incentive application,,0.0,Total installed cost ,Fig. 3.6,Poland, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
443,Customer acquisition,,12.3,Total installed cost ,Fig. 3.6,Poland, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
444,Modules,,292.6,Total installed cost ,Fig. 3.6,Germany, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
445,Inverters,,40.6,Total installed cost ,Fig. 3.6,Germany, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
446,Racking and mounting,,71.8,Total installed cost ,Fig. 3.6,Germany, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
447,Grid connection,,77.7,Total installed cost ,Fig. 3.6,Germany, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
448,Cabling/ wiring,,45.0,Total installed cost ,Fig. 3.6,Germany, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
449,Safety and security,,11.2,Total installed cost ,Fig. 3.6,Germany, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
450,Monitoring and control,,6.0,Total installed cost ,Fig. 3.6,Germany, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
451,Mechanical installation,,105.9,Total installed cost ,Fig. 3.6,Germany, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
452,Electrical installation,,86.4,Total installed cost ,Fig. 3.6,Germany, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
453,Inspection,,19.1,Total installed cost ,Fig. 3.6,Germany, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
454,Margin,,161.4,Total installed cost ,Fig. 3.6,Germany, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
455,Financing costs,,7.3,Total installed cost ,Fig. 3.6,Germany, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
456,System design,,15.0,Total installed cost ,Fig. 3.6,Germany, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
457,Permitting,,28.1,Total installed cost ,Fig. 3.6,Germany, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
458,Incentive application,,7.8,Total installed cost ,Fig. 3.6,Germany, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
459,Customer acquisition,,20.0,Total installed cost ,Fig. 3.6,Germany, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
460,Modules,,241.1,Total installed cost ,Fig. 3.6,Portugal, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
461,Inverters,,43.1,Total installed cost ,Fig. 3.6,Portugal, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
462,Racking and mounting,,74.6,Total installed cost ,Fig. 3.6,Portugal, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
463,Grid connection,,117.4,Total installed cost ,Fig. 3.6,Portugal, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
464,Cabling/ wiring,,83.6,Total installed cost ,Fig. 3.6,Portugal, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
465,Safety and security,,5.1,Total installed cost ,Fig. 3.6,Portugal, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
466,Monitoring and control,,13.3,Total installed cost ,Fig. 3.6,Portugal, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
467,Mechanical installation,,108.4,Total installed cost ,Fig. 3.6,Portugal, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
468,Electrical installation,,106.2,Total installed cost ,Fig. 3.6,Portugal, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
469,Inspection,,29.9,Total installed cost ,Fig. 3.6,Portugal, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
470,Margin,,80.9,Total installed cost ,Fig. 3.6,Portugal, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
471,Financing costs,,8.0,Total installed cost ,Fig. 3.6,Portugal, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
472,System design,,7.3,Total installed cost ,Fig. 3.6,Portugal, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
473,Permitting,,38.0,Total installed cost ,Fig. 3.6,Portugal, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
474,Incentive application,,3.6,Total installed cost ,Fig. 3.6,Portugal, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
