,Region,Country,RE or Non-RE,Group Technology,Technology,Sub-Technology,Poducer Type,Year,Electricity Generation (GWh),Electricity Installed Capacity (MW)
112,Africa,Burundi,Total Renewable,Solar energy,Solar photovoltaic,On-grid Solar photovoltaic,On-grid electricity,2020.0,0.626,0.403
113,Africa,Burundi,Total Renewable,Solar energy,Solar photovoltaic,On-grid Solar photovoltaic,On-grid electricity,2021.0,0.626,7.903
114,Africa,Burundi,Total Renewable,Solar energy,Solar photovoltaic,On-grid Solar photovoltaic,On-grid electricity,2022.0,,7.903
115,Africa,Cabo Verde,Total Non-Renewable,Fossil fuels,Oil,Oil,On-grid electricity,2020.0,348.787,141
116,Africa,Cabo Verde,Total Non-Renewable,Fossil fuels,Oil,Oil,On-grid electricity,2021.0,360.98,141
117,Africa,Cabo Verde,Total Non-Renewable,Fossil fuels,Oil,Oil,On-grid electricity,2022.0,,141
118,Africa,Cabo Verde,Total Renewable,Solar energy,Solar photovoltaic,Off-grid Solar photovoltaic,Off-grid electricity,2020.0,0.067,0.846
119,Africa,Cabo Verde,Total Renewable,Solar energy,Solar photovoltaic,Off-grid Solar photovoltaic,Off-grid electricity,2021.0,0.067,0.846
120,Africa,Cabo Verde,Total Renewable,Solar energy,Solar photovoltaic,Off-grid Solar photovoltaic,Off-grid electricity,2022.0,,0.846
121,Africa,Cabo Verde,Total Renewable,Solar energy,Solar photovoltaic,On-grid Solar photovoltaic,On-grid electricity,2020.0,6.524,6.735
122,Africa,Cabo Verde,Total Renewable,Solar energy,Solar photovoltaic,On-grid Solar photovoltaic,On-grid electricity,2021.0,6.817,6.735
123,Africa,Cabo Verde,Total Renewable,Solar energy,Solar photovoltaic,On-grid Solar photovoltaic,On-grid electricity,2022.0,,6.735
124,Africa,Cabo Verde,Total Renewable,Wind energy,Onshore wind energy,Onshore wind energy,On-grid electricity,2020.0,63.932,27.8
125,Africa,Cabo Verde,Total Renewable,Wind energy,Onshore wind energy,Onshore wind energy,On-grid electricity,2021.0,73.784,27.8
126,Africa,Cabo Verde,Total Renewable,Wind energy,Onshore wind energy,Onshore wind energy,On-grid electricity,2022.0,,27.8
127,Africa,Cameroon,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,On-grid electricity,2020.0,1016.689,268.213
128,Africa,Cameroon,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,On-grid electricity,2021.0,1016.689,268.213
129,Africa,Cameroon,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,On-grid electricity,2022.0,,268.213
130,Africa,Cameroon,Total Non-Renewable,Fossil fuels,Oil,Oil,Off-grid electricity,2020.0,22.6008,43
131,Africa,Cameroon,Total Non-Renewable,Fossil fuels,Oil,Oil,Off-grid electricity,2021.0,22.6008,43
132,Africa,Cameroon,Total Non-Renewable,Fossil fuels,Oil,Oil,Off-grid electricity,2022.0,,43
133,Africa,Cameroon,Total Non-Renewable,Fossil fuels,Oil,Oil,On-grid electricity,2020.0,296.863,393.787
134,Africa,Cameroon,Total Non-Renewable,Fossil fuels,Oil,Oil,On-grid electricity,2021.0,296.863,395.147
135,Africa,Cameroon,Total Non-Renewable,Fossil fuels,Oil,Oil,On-grid electricity,2022.0,,395.147
136,Africa,Cameroon,Total Renewable,Hydropower (excl. Pumped Storage),Renewable hydropower,Renewable hydropower,Off-grid electricity,2020.0,,0.3
137,Africa,Cameroon,Total Renewable,Hydropower (excl. Pumped Storage),Renewable hydropower,Renewable hydropower,Off-grid electricity,2021.0,,0.3
138,Africa,Cameroon,Total Renewable,Hydropower (excl. Pumped Storage),Renewable hydropower,Renewable hydropower,Off-grid electricity,2022.0,,0.3
139,Africa,Cameroon,Total Renewable,Hydropower (excl. Pumped Storage),Renewable hydropower,Renewable hydropower,On-grid electricity,2020.0,5089.9,812
140,Africa,Cameroon,Total Renewable,Hydropower (excl. Pumped Storage),Renewable hydropower,Renewable hydropower,On-grid electricity,2021.0,5089.9,812
141,Africa,Cameroon,Total Renewable,Hydropower (excl. Pumped Storage),Renewable hydropower,Renewable hydropower,On-grid electricity,2022.0,,812
142,Africa,Cameroon,Total Renewable,Solar energy,Solar photovoltaic,Off-grid Solar photovoltaic,Off-grid electricity,2020.0,19.672,14.317
143,Africa,Cameroon,Total Renewable,Solar energy,Solar photovoltaic,Off-grid Solar photovoltaic,Off-grid electricity,2021.0,19.672,14.317
144,Africa,Cameroon,Total Renewable,Solar energy,Solar photovoltaic,Off-grid Solar photovoltaic,Off-grid electricity,2022.0,,14.317
145,Africa,Central African Republic (the),Total Non-Renewable,Fossil fuels,Oil,Oil,On-grid electricity,2020.0,5.182,22
146,Africa,Central African Republic (the),Total Non-Renewable,Fossil fuels,Oil,Oil,On-grid electricity,2021.0,5.182,72
147,Africa,Central African Republic (the),Total Non-Renewable,Fossil fuels,Oil,Oil,On-grid electricity,2022.0,,72
148,Africa,Central African Republic (the),Total Renewable,Hydropower (excl. Pumped Storage),Renewable hydropower,Renewable hydropower,Off-grid electricity,2020.0,1.664,0.2
149,Africa,Central African Republic (the),Total Renewable,Hydropower (excl. Pumped Storage),Renewable hydropower,Renewable hydropower,Off-grid electricity,2021.0,1.664,0.2
150,Africa,Central African Republic (the),Total Renewable,Hydropower (excl. Pumped Storage),Renewable hydropower,Renewable hydropower,Off-grid electricity,2022.0,,0.2
151,Africa,Central African Republic (the),Total Renewable,Hydropower (excl. Pumped Storage),Renewable hydropower,Renewable hydropower,On-grid electricity,2020.0,139.601,18.65
152,Africa,Central African Republic (the),Total Renewable,Hydropower (excl. Pumped Storage),Renewable hydropower,Renewable hydropower,On-grid electricity,2021.0,139.601,18.65
153,Africa,Central African Republic (the),Total Renewable,Hydropower (excl. Pumped Storage),Renewable hydropower,Renewable hydropower,On-grid electricity,2022.0,,18.65
154,Africa,Central African Republic (the),Total Renewable,Solar energy,Solar photovoltaic,Off-grid Solar photovoltaic,Off-grid electricity,2020.0,0.426,0.316
155,Africa,Central African Republic (the),Total Renewable,Solar energy,Solar photovoltaic,Off-grid Solar photovoltaic,Off-grid electricity,2021.0,0.426,0.316
156,Africa,Central African Republic (the),Total Renewable,Solar energy,Solar photovoltaic,Off-grid Solar photovoltaic,Off-grid electricity,2022.0,,0.316
157,Africa,Chad,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,On-grid electricity,2020.0,225.64,120
158,Africa,Chad,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,On-grid electricity,2021.0,225.64,120
159,Africa,Chad,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,On-grid electricity,2022.0,,120
160,Africa,Chad,Total Non-Renewable,Fossil fuels,Oil,Oil,On-grid electricity,2020.0,100,162
161,Africa,Chad,Total Non-Renewable,Fossil fuels,Oil,Oil,On-grid electricity,2021.0,100,162
162,Africa,Chad,Total Non-Renewable,Fossil fuels,Oil,Oil,On-grid electricity,2022.0,,162
163,Africa,Chad,Total Renewable,Bioenergy,Solid biofuels,Bagasse,On-grid electricity,2020.0,9.111,2
164,Africa,Chad,Total Renewable,Bioenergy,Solid biofuels,Bagasse,On-grid electricity,2021.0,9.111,2
165,Africa,Chad,Total Renewable,Bioenergy,Solid biofuels,Bagasse,On-grid electricity,2022.0,,2
166,Africa,Chad,Total Renewable,Solar energy,Solar photovoltaic,Off-grid Solar photovoltaic,Off-grid electricity,2020.0,0.394,0.227
167,Africa,Chad,Total Renewable,Solar energy,Solar photovoltaic,Off-grid Solar photovoltaic,Off-grid electricity,2021.0,0.471,0.227
