,country,year,value,indicator_name,indicator_topic,indicator_subtopic,indicator_group,source_description
489,,Poland,11.5,Total installed cost (2022 USD/kW),Infrastructure,Power Infrastructure,Financing costs,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
490,,Poland,18.5,Total installed cost (2022 USD/kW),Infrastructure,Power Infrastructure,System design,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
491,,Poland,26.6,Total installed cost (2022 USD/kW),Infrastructure,Power Infrastructure,Permitting,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
492,,Poland,0,Total installed cost (2022 USD/kW),Infrastructure,Power Infrastructure,Incentive application,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
493,,Poland,12.3,Total installed cost (2022 USD/kW),Infrastructure,Power Infrastructure,Customer acquisition,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
494,,Germany,292.6,Total installed cost (2022 USD/kW),Infrastructure,Power Infrastructure,Modules,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
495,,Germany,40.6,Total installed cost (2022 USD/kW),Infrastructure,Power Infrastructure,Inverters,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
496,,Germany,71.8,Total installed cost (2022 USD/kW),Infrastructure,Power Infrastructure,Racking and mounting,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
497,,Germany,77.7,Total installed cost (2022 USD/kW),Infrastructure,Power Infrastructure,Grid connection,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
498,,Germany,45,Total installed cost (2022 USD/kW),Infrastructure,Power Infrastructure,Cabling/ wiring,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
499,,Germany,11.2,Total installed cost (2022 USD/kW),Infrastructure,Power Infrastructure,Safety and security,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
500,,Germany,6,Total installed cost (2022 USD/kW),Infrastructure,Power Infrastructure,Monitoring and control,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
501,,Germany,105.9,Total installed cost (2022 USD/kW),Infrastructure,Power Infrastructure,Mechanical installation,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
502,,Germany,86.4,Total installed cost (2022 USD/kW),Infrastructure,Power Infrastructure,Electrical installation,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
503,,Germany,19.1,Total installed cost (2022 USD/kW),Infrastructure,Power Infrastructure,Inspection,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
504,,Germany,161.4,Total installed cost (2022 USD/kW),Infrastructure,Power Infrastructure,Margin,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
505,,Germany,7.3,Total installed cost (2022 USD/kW),Infrastructure,Power Infrastructure,Financing costs,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
506,,Germany,15,Total installed cost (2022 USD/kW),Infrastructure,Power Infrastructure,System design,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
507,,Germany,28.1,Total installed cost (2022 USD/kW),Infrastructure,Power Infrastructure,Permitting,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
508,,Germany,7.8,Total installed cost (2022 USD/kW),Infrastructure,Power Infrastructure,Incentive application,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
509,,Germany,20,Total installed cost (2022 USD/kW),Infrastructure,Power Infrastructure,Customer acquisition,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
510,,Portugal,241.1,Total installed cost (2022 USD/kW),Infrastructure,Power Infrastructure,Modules,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
511,,Portugal,43.1,Total installed cost (2022 USD/kW),Infrastructure,Power Infrastructure,Inverters,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
512,,Portugal,74.6,Total installed cost (2022 USD/kW),Infrastructure,Power Infrastructure,Racking and mounting,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
513,,Portugal,117.4,Total installed cost (2022 USD/kW),Infrastructure,Power Infrastructure,Grid connection,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
514,,Portugal,83.6,Total installed cost (2022 USD/kW),Infrastructure,Power Infrastructure,Cabling/ wiring,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
515,,Portugal,5.1,Total installed cost (2022 USD/kW),Infrastructure,Power Infrastructure,Safety and security,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
516,,Portugal,13.3,Total installed cost (2022 USD/kW),Infrastructure,Power Infrastructure,Monitoring and control,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
517,,Portugal,108.4,Total installed cost (2022 USD/kW),Infrastructure,Power Infrastructure,Mechanical installation,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
518,,Portugal,106.2,Total installed cost (2022 USD/kW),Infrastructure,Power Infrastructure,Electrical installation,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
519,,Portugal,29.9,Total installed cost (2022 USD/kW),Infrastructure,Power Infrastructure,Inspection,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
520,,Portugal,80.9,Total installed cost (2022 USD/kW),Infrastructure,Power Infrastructure,Margin,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
521,,Portugal,8,Total installed cost (2022 USD/kW),Infrastructure,Power Infrastructure,Financing costs,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
522,,Portugal,7.3,Total installed cost (2022 USD/kW),Infrastructure,Power Infrastructure,System design,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
523,,Portugal,38,Total installed cost (2022 USD/kW),Infrastructure,Power Infrastructure,Permitting,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
524,,Portugal,3.6,Total installed cost (2022 USD/kW),Infrastructure,Power Infrastructure,Incentive application,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
525,,Portugal,20.5,Total installed cost (2022 USD/kW),Infrastructure,Power Infrastructure,Customer acquisition,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
526,,Slovenia,300.3,Total installed cost (2022 USD/kW),Infrastructure,Power Infrastructure,Modules,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
527,,Slovenia,53.2,Total installed cost (2022 USD/kW),Infrastructure,Power Infrastructure,Inverters,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
528,,Slovenia,70.9,Total installed cost (2022 USD/kW),Infrastructure,Power Infrastructure,Racking and mounting,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
529,,Slovenia,37.8,Total installed cost (2022 USD/kW),Infrastructure,Power Infrastructure,Grid connection,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
530,,Slovenia,24.2,Total installed cost (2022 USD/kW),Infrastructure,Power Infrastructure,Cabling/ wiring,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
531,,Slovenia,39,Total installed cost (2022 USD/kW),Infrastructure,Power Infrastructure,Safety and security,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
532,,Slovenia,5.4,Total installed cost (2022 USD/kW),Infrastructure,Power Infrastructure,Monitoring and control,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
533,,Slovenia,125.3,Total installed cost (2022 USD/kW),Infrastructure,Power Infrastructure,Mechanical installation,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
534,,Slovenia,74.6,Total installed cost (2022 USD/kW),Infrastructure,Power Infrastructure,Electrical installation,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
535,,Slovenia,49.3,Total installed cost (2022 USD/kW),Infrastructure,Power Infrastructure,Inspection,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
536,,Slovenia,105.6,Total installed cost (2022 USD/kW),Infrastructure,Power Infrastructure,Margin,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
537,,Slovenia,21.1,Total installed cost (2022 USD/kW),Infrastructure,Power Infrastructure,Financing costs,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
538,,Slovenia,14.1,Total installed cost (2022 USD/kW),Infrastructure,Power Infrastructure,System design,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
539,,Slovenia,21.1,Total installed cost (2022 USD/kW),Infrastructure,Power Infrastructure,Permitting,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
540,,Slovenia,23.5,Total installed cost (2022 USD/kW),Infrastructure,Power Infrastructure,Incentive application,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
541,,Slovenia,0,Total installed cost (2022 USD/kW),Infrastructure,Power Infrastructure,Customer acquisition,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
542,,Indonesia,329,Total installed cost (2022 USD/kW),Infrastructure,Power Infrastructure,Modules,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
543,,Indonesia,78,Total installed cost (2022 USD/kW),Infrastructure,Power Infrastructure,Inverters,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
544,,Indonesia,67,Total installed cost (2022 USD/kW),Infrastructure,Power Infrastructure,Racking and mounting,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
545,,Indonesia,96,Total installed cost (2022 USD/kW),Infrastructure,Power Infrastructure,Grid connection,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
546,,Indonesia,92,Total installed cost (2022 USD/kW),Infrastructure,Power Infrastructure,Cabling/ wiring,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
547,,Indonesia,10,Total installed cost (2022 USD/kW),Infrastructure,Power Infrastructure,Safety and security,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
548,,Indonesia,16,Total installed cost (2022 USD/kW),Infrastructure,Power Infrastructure,Monitoring and control,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
549,,Indonesia,34.7,Total installed cost (2022 USD/kW),Infrastructure,Power Infrastructure,Mechanical installation,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
550,,Indonesia,24.8,Total installed cost (2022 USD/kW),Infrastructure,Power Infrastructure,Electrical installation,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
551,,Indonesia,44.7,Total installed cost (2022 USD/kW),Infrastructure,Power Infrastructure,Inspection,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
552,,Indonesia,84.4,Total installed cost (2022 USD/kW),Infrastructure,Power Infrastructure,Margin,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
553,,Indonesia,28.8,Total installed cost (2022 USD/kW),Infrastructure,Power Infrastructure,Financing costs,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
554,,Indonesia,14.9,Total installed cost (2022 USD/kW),Infrastructure,Power Infrastructure,System design,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
555,,Indonesia,29.8,Total installed cost (2022 USD/kW),Infrastructure,Power Infrastructure,Permitting,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
556,,Indonesia,0,Total installed cost (2022 USD/kW),Infrastructure,Power Infrastructure,Incentive application,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
557,,Indonesia,11.9,Total installed cost (2022 USD/kW),Infrastructure,Power Infrastructure,Customer acquisition,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
558,,Canada,389.7,Total installed cost (2022 USD/kW),Infrastructure,Power Infrastructure,Modules,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
559,,Canada,53.4,Total installed cost (2022 USD/kW),Infrastructure,Power Infrastructure,Inverters,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
560,,Canada,89,Total installed cost (2022 USD/kW),Infrastructure,Power Infrastructure,Racking and mounting,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
561,,Canada,71,Total installed cost (2022 USD/kW),Infrastructure,Power Infrastructure,Grid connection,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
562,,Canada,45,Total installed cost (2022 USD/kW),Infrastructure,Power Infrastructure,Cabling/ wiring,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
563,,Canada,14.3,Total installed cost (2022 USD/kW),Infrastructure,Power Infrastructure,Safety and security,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
564,,Canada,10.9,Total installed cost (2022 USD/kW),Infrastructure,Power Infrastructure,Monitoring and control,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
565,,Canada,71.9,Total installed cost (2022 USD/kW),Infrastructure,Power Infrastructure,Mechanical installation,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
566,,Canada,63.4,Total installed cost (2022 USD/kW),Infrastructure,Power Infrastructure,Electrical installation,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
567,,Canada,19.2,Total installed cost (2022 USD/kW),Infrastructure,Power Infrastructure,Inspection,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
568,,Canada,84.3,Total installed cost (2022 USD/kW),Infrastructure,Power Infrastructure,Margin,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
569,,Canada,5.6,Total installed cost (2022 USD/kW),Infrastructure,Power Infrastructure,Financing costs,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
570,,Canada,18.7,Total installed cost (2022 USD/kW),Infrastructure,Power Infrastructure,System design,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
571,,Canada,7,Total installed cost (2022 USD/kW),Infrastructure,Power Infrastructure,Permitting,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
572,,Canada,13.2,Total installed cost (2022 USD/kW),Infrastructure,Power Infrastructure,Incentive application,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
573,,Canada,4.3,Total installed cost (2022 USD/kW),Infrastructure,Power Infrastructure,Customer acquisition,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
574,,Mexico,308.3,Total installed cost (2022 USD/kW),Infrastructure,Power Infrastructure,Modules,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
575,,Mexico,47.2,Total installed cost (2022 USD/kW),Infrastructure,Power Infrastructure,Inverters,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
576,,Mexico,101.6,Total installed cost (2022 USD/kW),Infrastructure,Power Infrastructure,Racking and mounting,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
577,,Mexico,74.7,Total installed cost (2022 USD/kW),Infrastructure,Power Infrastructure,Grid connection,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
578,,Mexico,50.6,Total installed cost (2022 USD/kW),Infrastructure,Power Infrastructure,Cabling/ wiring,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
579,,Mexico,26.1,Total installed cost (2022 USD/kW),Infrastructure,Power Infrastructure,Safety and security,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
580,,Mexico,15.8,Total installed cost (2022 USD/kW),Infrastructure,Power Infrastructure,Monitoring and control,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
581,,Mexico,65.5,Total installed cost (2022 USD/kW),Infrastructure,Power Infrastructure,Mechanical installation,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
582,,Mexico,35.2,Total installed cost (2022 USD/kW),Infrastructure,Power Infrastructure,Electrical installation,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
583,,Mexico,14.1,Total installed cost (2022 USD/kW),Infrastructure,Power Infrastructure,Inspection,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
584,,Mexico,123.7,Total installed cost (2022 USD/kW),Infrastructure,Power Infrastructure,Margin,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
585,,Mexico,20.5,Total installed cost (2022 USD/kW),Infrastructure,Power Infrastructure,Financing costs,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
586,,Mexico,13.2,Total installed cost (2022 USD/kW),Infrastructure,Power Infrastructure,System design,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
587,,Mexico,12.1,Total installed cost (2022 USD/kW),Infrastructure,Power Infrastructure,Permitting,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
588,,Mexico,36.7,Total installed cost (2022 USD/kW),Infrastructure,Power Infrastructure,Incentive application,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
589,,Mexico,12.8,Total installed cost (2022 USD/kW),Infrastructure,Power Infrastructure,Customer acquisition,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
590,,Argentina,372.3,Total installed cost (2022 USD/kW),Infrastructure,Power Infrastructure,Modules,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
591,,Argentina,62.8,Total installed cost (2022 USD/kW),Infrastructure,Power Infrastructure,Inverters,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
592,,Argentina,55.4,Total installed cost (2022 USD/kW),Infrastructure,Power Infrastructure,Racking and mounting,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
593,,Argentina,76.4,Total installed cost (2022 USD/kW),Infrastructure,Power Infrastructure,Grid connection,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
594,,Argentina,102.9,Total installed cost (2022 USD/kW),Infrastructure,Power Infrastructure,Cabling/ wiring,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
595,,Argentina,8.2,Total installed cost (2022 USD/kW),Infrastructure,Power Infrastructure,Safety and security,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
596,,Argentina,7.6,Total installed cost (2022 USD/kW),Infrastructure,Power Infrastructure,Monitoring and control,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
597,,Argentina,58.7,Total installed cost (2022 USD/kW),Infrastructure,Power Infrastructure,Mechanical installation,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
598,,Argentina,52,Total installed cost (2022 USD/kW),Infrastructure,Power Infrastructure,Electrical installation,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
599,,Argentina,11.7,Total installed cost (2022 USD/kW),Infrastructure,Power Infrastructure,Inspection,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
600,,Argentina,84.3,Total installed cost (2022 USD/kW),Infrastructure,Power Infrastructure,Margin,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
601,,Argentina,12.9,Total installed cost (2022 USD/kW),Infrastructure,Power Infrastructure,Financing costs,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
602,,Argentina,14.1,Total installed cost (2022 USD/kW),Infrastructure,Power Infrastructure,System design,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
603,,Argentina,24.4,Total installed cost (2022 USD/kW),Infrastructure,Power Infrastructure,Permitting,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
604,,Argentina,0,Total installed cost (2022 USD/kW),Infrastructure,Power Infrastructure,Incentive application,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
605,,Argentina,5,Total installed cost (2022 USD/kW),Infrastructure,Power Infrastructure,Customer acquisition,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
606,,Australia,339.2,Total installed cost (2022 USD/kW),Infrastructure,Power Infrastructure,Modules,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
607,,Australia,38,Total installed cost (2022 USD/kW),Infrastructure,Power Infrastructure,Inverters,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
608,,Australia,89.3,Total installed cost (2022 USD/kW),Infrastructure,Power Infrastructure,Racking and mounting,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
609,,Australia,44,Total installed cost (2022 USD/kW),Infrastructure,Power Infrastructure,Grid connection,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
610,,Australia,42.1,Total installed cost (2022 USD/kW),Infrastructure,Power Infrastructure,Cabling/ wiring,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
611,,Australia,11.5,Total installed cost (2022 USD/kW),Infrastructure,Power Infrastructure,Safety and security,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
612,,Australia,5.1,Total installed cost (2022 USD/kW),Infrastructure,Power Infrastructure,Monitoring and control,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
613,,Australia,87.4,Total installed cost (2022 USD/kW),Infrastructure,Power Infrastructure,Mechanical installation,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
614,,Australia,78.3,Total installed cost (2022 USD/kW),Infrastructure,Power Infrastructure,Electrical installation,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
615,,Australia,29.6,Total installed cost (2022 USD/kW),Infrastructure,Power Infrastructure,Inspection,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
616,,Australia,55.1,Total installed cost (2022 USD/kW),Infrastructure,Power Infrastructure,Margin,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
617,,Australia,29.4,Total installed cost (2022 USD/kW),Infrastructure,Power Infrastructure,Financing costs,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
618,,Australia,10.7,Total installed cost (2022 USD/kW),Infrastructure,Power Infrastructure,System design,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
619,,Australia,37.5,Total installed cost (2022 USD/kW),Infrastructure,Power Infrastructure,Permitting,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
620,,Australia,11.6,Total installed cost (2022 USD/kW),Infrastructure,Power Infrastructure,Incentive application,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
621,,Australia,13.7,Total installed cost (2022 USD/kW),Infrastructure,Power Infrastructure,Customer acquisition,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
622,,United Kingdom,269.9,Total installed cost (2022 USD/kW),Infrastructure,Power Infrastructure,Modules,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
623,,United Kingdom,38.8,Total installed cost (2022 USD/kW),Infrastructure,Power Infrastructure,Inverters,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
624,,United Kingdom,65,Total installed cost (2022 USD/kW),Infrastructure,Power Infrastructure,Racking and mounting,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
625,,United Kingdom,66,Total installed cost (2022 USD/kW),Infrastructure,Power Infrastructure,Grid connection,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
626,,United Kingdom,78.5,Total installed cost (2022 USD/kW),Infrastructure,Power Infrastructure,Cabling/ wiring,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
627,,United Kingdom,28.2,Total installed cost (2022 USD/kW),Infrastructure,Power Infrastructure,Safety and security,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
628,,United Kingdom,4.4,Total installed cost (2022 USD/kW),Infrastructure,Power Infrastructure,Monitoring and control,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
629,,United Kingdom,77.6,Total installed cost (2022 USD/kW),Infrastructure,Power Infrastructure,Mechanical installation,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
630,,United Kingdom,68.5,Total installed cost (2022 USD/kW),Infrastructure,Power Infrastructure,Electrical installation,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
631,,United Kingdom,24.6,Total installed cost (2022 USD/kW),Infrastructure,Power Infrastructure,Inspection,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
632,,United Kingdom,55,Total installed cost (2022 USD/kW),Infrastructure,Power Infrastructure,Margin,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
633,,United Kingdom,43.5,Total installed cost (2022 USD/kW),Infrastructure,Power Infrastructure,Financing costs,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
634,,United Kingdom,6.3,Total installed cost (2022 USD/kW),Infrastructure,Power Infrastructure,System design,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
635,,United Kingdom,44.7,Total installed cost (2022 USD/kW),Infrastructure,Power Infrastructure,Permitting,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
636,,United Kingdom,28.9,Total installed cost (2022 USD/kW),Infrastructure,Power Infrastructure,Incentive application,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
637,,United Kingdom,10.1,Total installed cost (2022 USD/kW),Infrastructure,Power Infrastructure,Customer acquisition,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
638,,Estonia,370,Total installed cost (2022 USD/kW),Infrastructure,Power Infrastructure,Modules,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
639,,Estonia,49.9,Total installed cost (2022 USD/kW),Infrastructure,Power Infrastructure,Inverters,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
640,,Estonia,46.4,Total installed cost (2022 USD/kW),Infrastructure,Power Infrastructure,Racking and mounting,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
641,,Estonia,38.3,Total installed cost (2022 USD/kW),Infrastructure,Power Infrastructure,Grid connection,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
642,,Estonia,64.2,Total installed cost (2022 USD/kW),Infrastructure,Power Infrastructure,Cabling/ wiring,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
643,,Estonia,26.8,Total installed cost (2022 USD/kW),Infrastructure,Power Infrastructure,Safety and security,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
